
[2021/3/27 0:05:32 259]  11 11 11 11 
[2021/3/27 0:05:33 705]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:33 708]  11 11 11 11 
[2021/3/27 0:05:34 352]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:34 355]  11 11 11 11 
[2021/3/27 0:05:35 374]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:35 377]  11 11 11 11 
[2021/3/27 0:05:36 029]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:36 033]  11 11 11 11 
[2021/3/27 0:05:37 078]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:37 081]  11 11 11 11 
[2021/3/27 0:05:37 431]  TCP客户端[192.168.1.151:8000]接收4字节: 
[2021/3/27 0:05:37 435]  11 11 11 11 
[2021/3/27 0:05:40 251]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:40 254]  222222222
[2021/3/27 0:05:40 927]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:40 930]  222222222
[2021/3/27 0:05:41 635]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:41 639]  222222222
[2021/3/27 0:05:42 263]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:42 266]  222222222
[2021/3/27 0:05:42 901]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:42 905]  222222222
[2021/3/27 0:05:43 494]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:43 497]  222222222
[2021/3/27 0:05:43 670]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:43 673]  222222222
[2021/3/27 0:05:43 845]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:43 849]  222222222
[2021/3/27 0:05:44 022]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 024]  222222222
[2021/3/27 0:05:44 197]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 200]  222222222
[2021/3/27 0:05:44 365]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 368]  222222222
[2021/3/27 0:05:44 535]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 538]  222222222
[2021/3/27 0:05:44 680]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 683]  222222222
[2021/3/27 0:05:44 869]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:44 872]  222222222
[2021/3/27 0:05:45 049]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:45 053]  222222222
[2021/3/27 0:05:45 233]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:45 237]  222222222
[2021/3/27 0:05:45 417]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:45 421]  222222222
[2021/3/27 0:05:45 633]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:45 636]  222222222
[2021/3/27 0:05:45 829]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:45 832]  222222222
[2021/3/27 0:05:46 017]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 021]  222222222
[2021/3/27 0:05:46 201]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 205]  222222222
[2021/3/27 0:05:46 386]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 389]  222222222
[2021/3/27 0:05:46 580]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 583]  222222222
[2021/3/27 0:05:46 789]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 814]  222222222
[2021/3/27 0:05:46 968]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:46 971]  222222222
[2021/3/27 0:05:47 171]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:47 174]  222222222
[2021/3/27 0:05:47 365]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:47 369]  222222222
[2021/3/27 0:05:47 872]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:47 875]  222222222
[2021/3/27 0:05:48 052]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:48 054]  222222222
[2021/3/27 0:05:48 244]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:48 248]  222222222
[2021/3/27 0:05:48 512]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:48 515]  222222222
[2021/3/27 0:05:49 367]  TCP Client发送文本数据9字节：
[2021/3/27 0:05:49 370]  222222222
[2021/3/27 0:06:44 662]  TCP Client已断开
